0,bus_idx,phase_str,slack_power_cap
0.0011588976739437746,32,[1][2],0.001726457441304543
0.0013018399554381116,29,[1][2][3],0.00219839018844121
0.0002496130732987797,1,[1][2],0.000992816082789627
0.0002476059950622111,54,[1][2],0.0009878570677375946
0.0005562538917448834,78,[3],0.0008335138091528747
0.0012961460227181093,81,[1][2][3],0.0022232522505303107
0.00033000659468042934,101,[2],0.0006405321598283041
0.0005636111395774772,2,[3],0.0008406217837406541
0.0002267179704522747,105,[2],0.0005586014726580002
0.004421448284898295,109,[1][2][3],0.005192470376043068
0.002207289312920734,74,[1][2][3],0.003021702901895229
0.0005322026769438354,41,[1][2],0.0011902032295715134
0.00026996642901593834,132,[2],0.0005928105497732851
0.0005208787492914764,65,[1][2],0.0011658443383416026
0.0011494470136521405,51,[1][2][3],0.0020693179730798066
0.00034727227967061726,53,[1],0.0006516453023756736
0.00029423875916814707,106,[2],0.000607539566393541
0.000560413082072234,119,[3],0.000844691383115862
0.0011373020288680345,27,[1][2],0.001703259342242688
0.0013079443599511252,75,[1][2][3],0.002238022405804965
0.001027138224654941,42,[1][2][3],0.001966036983150737
0.00024877557032439233,33,[1][2],0.0009878572547091502
0.0022015985953826385,28,[1][2][3],0.0030164956544661897
0.0005860867165456874,50,[1][2],0.0012159924042125711
0.0013082961380238092,52,[1][2][3],0.0022382872630090467
0.0010317414276310658,111,[1][2][3],0.001969004417341768
0.0012968328399435667,63,[1][2][3],0.0022238320329391772
0.0005633381342252629,121,[3],0.0008403871202935404
0.0013016002016613846,115,[1][2][3],0.002186170426862621
0.0003636139652746145,141,[2],0.0006676727687996774
0.004530195116626219,92,[1][2][3],0.005249136574225316
0.00025013140702650685,88,[1],0.0005813460247390805
0.003466607917797347,93,[1][2][3],0.004241879331263491
0.0005559850709109956,26,[3],0.0008332753661293368
0.0003437670432794214,10,[1],0.0006489422680010735
0.0005816993596913766,120,[3],0.0008612281419696392
0.0010283267204731327,77,[1][2][3],0.001966952197674811
0.003470913912079977,24,[1][2][3],0.004246062165585585
0.0003505972982250637,87,[1],0.0006538673495845514
0.0005242638181649615,117,[3],0.0008080342122577078
0.0027057959820642663,58,[1][2][3],0.0035809079746352956
0.0006297820603597354,25,[1][2],0.0012596975859062462
0.022876552253637075,114,[1][2][3],0.02335910577454766
0.0021572272818518,23,[1][2][3],0.003054531853589524
0.00030489604928519905,149,[1],0.00062268502486877
0.0012939304840203338,49,[1][2][3],0.002191648095412368
0.001205516606517771,59,[1][2][3],0.0021055418432367255
0.00034670445668015076,5,[1],0.0006512287191743012
0.004432155473159902,31,[1][2][3],0.005202822572950059
0.00022335348184338746,89,[1],0.0005639211134667814
0.0009911095909514798,62,[1][2][3],0.0019404958633186258
0.0010291815486215498,43,[1][2][3],0.00196758945994629
0.003589102783221076,122,[1][2][3],0.004370844320012953
0.00025239033929597826,90,[1],0.000582609448096736
0.0,39,,0.0
0.0001110479919400748,143,[2],0.00048780235538463444
0.013088295031823634,112,[1][2][3],0.013668081974606849
0.003801438822556992,34,[1][2][3],0.0045648839310028
0.00034862258504809085,44,[1],0.0006526974744973116
0.003967145330602408,129,[1][2][3],0.00475258572636294
0.00032516972950986706,150,[1],0.0006371774602846101
0.0037947684704571355,137,[1][2][3],0.004558054853253505
0.007903032489442744,94,[1][2][3],0.008501539712362522
0.004365324365864228,55,[1][2][3],0.0051224424365891785
0.00023211714292518097,86,[1],0.0005703587354978169
0.00419254331285075,126,[1][2][3],0.004981639164601109
0.003597062005440533,17,[1][2][3],0.004344089073073499
0.0004797141159176362,99,[2],0.0007714960205886757
0.007136073973983195,71,[1][2][3],0.007838755773388726
0.0009582504219959701,152,[1][2][3],0.001915309540215668
0.00034427714147657957,37,[1],0.0006492904661142355
0.0011970928102942825,47,[1][2][3],0.0020995563384100437
0.0009909045658957312,9,[1][2][3],0.0019403156451399802
0.00034487604687210264,73,[1],0.0006497231357200566
0.001197091145728173,82,[1][2][3],0.002099455431990694
0.009845439269833663,12,[1][2][3],0.010499802408168186
0.00034691459379912254,79,[1],0.0006513817803267375
0.0017592035303942617,20,[1][2][3],0.0026955688595155314
0.000312096287366437,146,[1],0.0006280668739490205
0.0005245930751328875,6,[1][2],0.0011848449399201038
0.00013771433328319487,142,[2],0.0005050516732438559
0.0012986407098010417,84,[1][2][3],0.0021956569432516893
0.0012050530825616229,80,[1][2][3],0.002108246165787968
0.0002923850608370699,104,[2],0.0006082085981854098
0.07713769046539276,124,[1][2][3],0.07771076294217176
0.0036649868277030787,125,[1][2][3],0.004458967995165375
0.0005369467959445986,98,[2],0.0008212441259520717
0.0017587657204279341,113,[1][2][3],0.0026951709652762146
0.015159226292395784,110,[1][2][3],0.015708297555264657
0.0009613585215632827,70,[1][2][3],0.0019177959400521103
0.0013073500804349743,14,[1][2][3],0.002237578101975148
0.0027033959029717962,127,[1][2][3],0.0035785755005999717
0.0005218136229770964,7,[1][2],0.0011663233698850743
0.0004535743159498271,96,[2],0.0007483747213642604
0.0011969954667506138,57,[1][2][3],0.0020993922471371027
0.005063434287618427,123,[1][2][3],0.005737391470947689
0.000474215448586482,8,[1][2],0.00114608768222267
0.00011126187262700094,140,[2],0.0004882284458218249
0.0013985478350596926,64,[1][2][3],0.0022832055527799103
0.0012957588778472898,19,[1][2][3],0.0022229338444513256
0.00034845834646026006,91,[1],0.0006525605829106957
0.00037766307653861066,107,[2],0.0006781121938377074
0.00019771330338465623,102,[2],0.0005423274341248279
0.001307700538520901,69,[1][2][3],0.002237826779889533
0.0005197043421464825,60,[1][2],0.0011815716136537853
0.0004592574948373028,97,[2],0.0007421616914007709
0.0012051261501074128,4,[1][2][3],0.0021082530379280423
0.00021920495080800034,130,[2],0.0005569346401403688
0.0001386521206396181,144,[2],0.0005050387326494626
0.001076961976560432,22,[1][2][3],0.0020038526657270117
0.003556082186316225,11,[1][2][3],0.004448724004133023
0.0022092270961757343,35,[1][2][3],0.003023470234388523
0.0005446222329770838,13,[1][2],0.0011877262848391285
0.005077252780643698,136,[1][2][3],0.005795916960599009
0.00030480248895720915,134,[2],0.0006175934793010775
0.000239988997714982,133,[2],0.0005704451703596341
0.0003331039430602507,148,[1],0.0006430387175584
0.00039130149437826796,131,[2],0.0006900332152142859
0.00034893350214429316,15,[1],0.0006529144024714779
0.005056206510120242,61,[1][2][3],0.005730422155487509
0.0011150900567037506,67,[1][2],0.0016849083259984736
0.0022303794919723823,108,[1][2][3],0.0030800679736837774
0.0005982932694181938,118,[3],0.0008749683443532967
0.005949556552971368,16,[1][2][3],0.006670898174612571
0.0005985068328843638,100,[2],0.0008786978797704407
0.0010737949738594491,40,[1][2][3],0.002001501356205331
0.0005259307147311773,21,[1][2],0.0011859130913823377
0.00024847330187507407,38,[1][2],0.0009883598957787694
0.0002495585315396546,46,[1][2],0.0009884777876809072
0.0,72,,0.0
0.0003487597003087995,83,[1],0.0006528023199266819
0.0003469952197524707,151,[1],0.0006514547044227882
0.001196700759798859,45,[1][2][3],0.0020991538716131236
0.0009890970299670269,68,[1][2][3],0.0019389018621394614
0.0043512938172914715,56,[1][2][3],0.005029315055284465
0.0005954765731504401,116,[3],0.0008759467742547705
0.0011842265340334687,128,[1][2][3],0.002156002099889988
0.00278308937450282,139,[1][2][3],0.0035681366815300897
0.00031142235466221404,145,[2],0.0006311922379631486
0.009964513963382805,36,[1][2][3],0.010646277994844869
0.000555713245626956,66,[3],0.0008330412060888026
0.0011970453414465276,76,[1][2][3],0.0020994841685799573
0.001287928504495839,95,[1][2][3],0.002175465070318938
0.002189749938833441,138,[1][2][3],0.0029999865548359515
0.0010756416748580841,85,[1][2][3],0.002002860956669874
0.000341074260051539,147,[1],0.0006470662118407401
0.0003137688477527028,135,[2],0.0006308125587993412
0.0012050304046692074,48,[1][2][3],0.0021082623747061997
0.0010771248467241951,18,[1][2],0.0016498081046564619
0.0012467032900346858,103,[2],0.0014571662907622112
0.00047353270538869736,30,[1][2],0.0011456193617574407
0.010413283019810081,3,[1][2][3],0.01109605607902723
